package,date,downloads
ggplot2,2015-04-22,6767
ggplot2,2015-04-23,6346
ggplot2,2015-04-24,5734
ggplot2,2015-04-25,3415
ggplot2,2015-04-26,3612
ggplot2,2015-04-27,5715
ggplot2,2015-04-28,5751
ggplot2,2015-04-29,5827
ggplot2,2015-04-30,5433
ggplot2,2015-05-01,4329
ggplot2,2015-05-02,2680
ggplot2,2015-05-03,2975
ggplot2,2015-05-04,5539
ggplot2,2015-05-05,5758
ggplot2,2015-05-06,6042
ggplot2,2015-05-07,5879
ggplot2,2015-05-08,5346
ggplot2,2015-05-09,2968
ggplot2,2015-05-10,2828
ggplot2,2015-05-11,5799
ggplot2,2015-05-12,6018
ggplot2,2015-05-13,6401
ggplot2,2015-05-14,5420
ggplot2,2015-05-15,5408
ggplot2,2015-05-16,3064
ggplot2,2015-05-17,2935
ggplot2,2015-05-18,5181
ggplot2,2015-05-19,5600
ggplot2,2015-05-20,6151
ggplot2,2015-05-21,5834
ggplot2,2015-05-22,4934
ggplot2,2015-05-23,2957
ggplot2,2015-05-24,2685
ggplot2,2015-05-25,3489
ggplot2,2015-05-26,5396
ggplot2,2015-05-27,5874
ggplot2,2015-05-28,5098
ggplot2,2015-05-29,4370
ggplot2,2015-05-30,2643
ggplot2,2015-05-31,2957
ggplot2,2015-06-01,4814
ggplot2,2015-06-02,5339
ggplot2,2015-06-03,5401
ggplot2,2015-06-04,4753
ggplot2,2015-06-05,4593
ggplot2,2015-06-06,2530
ggplot2,2015-06-07,2717
ggplot2,2015-06-08,5100
ggplot2,2015-06-09,5592
ggplot2,2015-06-10,5512
ggplot2,2015-06-11,5234
ggplot2,2015-06-12,4261
ggplot2,2015-06-13,2631
ggplot2,2015-06-14,2998
ggplot2,2015-06-15,5270
ggplot2,2015-06-16,5274
ggplot2,2015-06-17,5268
ggplot2,2015-06-18,4961
ggplot2,2015-06-19,4669
ggplot2,2015-06-20,2764
ggplot2,2015-06-21,2988
ggplot2,2015-06-22,5016
ggplot2,2015-06-23,5757
ggplot2,2015-06-24,5316
ggplot2,2015-06-25,5366
ggplot2,2015-06-26,4606
ggplot2,2015-06-27,2476
ggplot2,2015-06-28,2618
ggplot2,2015-06-29,5361
ggplot2,2015-06-30,5545
ggplot2,2015-07-01,5357
ggplot2,2015-07-02,5066
ggplot2,2015-07-03,3661
ggplot2,2015-07-04,2407
ggplot2,2015-07-05,2311
ggplot2,2015-07-06,5316
ggplot2,2015-07-07,5182
ggplot2,2015-07-08,4478
ggplot2,2015-07-09,4425
ggplot2,2015-07-10,4410
ggplot2,2015-07-11,2361
ggplot2,2015-07-12,2352
ggplot2,2015-07-13,4442
ggplot2,2015-07-14,4664
ggplot2,2015-07-15,4840
ggplot2,2015-07-16,4802
ggplot2,2015-07-17,3833
ggplot2,2015-07-18,2294
ggplot2,2015-07-19,2515
ggplot2,2015-07-20,4562
ggplot2,2015-07-21,5131
ggplot2,2015-07-22,4728
ggplot2,2015-07-23,4515
ggplot2,2015-07-24,4626
ggplot2,2015-07-25,2702
ggplot2,2015-07-26,2777
ggplot2,2015-07-27,4568
ggplot2,2015-07-28,4802
ggplot2,2015-07-29,4843
ggplot2,2015-07-30,4318
ggplot2,2015-07-31,3773
ggplot2,2015-08-01,2152
ggplot2,2015-08-02,1826
ggplot2,2015-08-03,4212
ggplot2,2015-08-04,4989
ggplot2,2015-08-05,4431
ggplot2,2015-08-06,4484
ggplot2,2015-08-07,4003
ggplot2,2015-08-08,2229
ggplot2,2015-08-09,2310
ggplot2,2015-08-10,4123
ggplot2,2015-08-11,4602
ggplot2,2015-08-12,4772
ggplot2,2015-08-13,4626
ggplot2,2015-08-14,4084
ggplot2,2015-08-15,2292
ggplot2,2015-08-16,2473
ggplot2,2015-08-17,4624
ggplot2,2015-08-18,5122
ggplot2,2015-08-19,5404
ggplot2,2015-08-20,5372
ggplot2,2015-08-21,4454
ggplot2,2015-08-22,2774
ggplot2,2015-08-23,2862
ggplot2,2015-08-24,5605
ggplot2,2015-08-25,12237
ggplot2,2015-08-26,8973
ggplot2,2015-08-27,5478
ggplot2,2015-08-28,4782
ggplot2,2015-08-29,2669
ggplot2,2015-08-30,2823
ggplot2,2015-08-31,5830
ggplot2,2015-09-01,7379
ggplot2,2015-09-02,6526
ggplot2,2015-09-03,6566
ggplot2,2015-09-04,6182
ggplot2,2015-09-05,2680
ggplot2,2015-09-06,3564
ggplot2,2015-09-07,5824
ggplot2,2015-09-08,7068
ggplot2,2015-09-09,7047
ggplot2,2015-09-10,6772
ggplot2,2015-09-11,5964
ggplot2,2015-09-12,3312
ggplot2,2015-09-13,3333
ggplot2,2015-09-14,7446
ggplot2,2015-09-15,7149
ggplot2,2015-09-16,7177
ggplot2,2015-09-17,6835
ggplot2,2015-09-18,6604
ggplot2,2015-09-19,3252
ggplot2,2015-09-20,3584
ggplot2,2015-09-21,6625
ggplot2,2015-09-22,7167
